"Agency","School","SCHOOLCODE","Address","maxOccupancy","Enroll.Cap","ProjectPhase","YrComplete","Level","totalSQFT","ProjectType","MajorExp9815","TotalAllotandPlan1621","LifetimeBudget","LON","LAT","WARD","FeederMS","FeederHS","Total.Enrolled","Limited.English.Proficient","At_Risk","SPED","AtRiskPer","SPEDPer","ESLPer","SqFtPerEnroll","LTBudgetPerSqFt","SpentPerEnroll","SpentPerSqFt"
"DCPS","John Hayden Johnson Middle School",416,"1400 Bruce Pl  SE",730,730,"Phase I",2013,"MS",182496,"PARTIAL MOD",-5857,-0.03,20521528,-76.983703681,38.851336572,8,NA,"Ballou HS",291,3,229,103,0.786941580756014,0.353951890034364,0.0103092783505155,627.134020618557,112.449193406979,-20.127147766323,-0.0320938541118709
"DCPS","Stuart-Hobson Middle School",428,"410 E St  NE",450,450,"Full",2015,"MS",115242,"FULL MOD + ADD",1190116,10.33,47666762,-77.00000438,38.89629737,6,"","Eastern HS",423,3,143,83,0.33806146572104,0.196217494089835,0.00709219858156028,272.439716312057,413.623175578348,2813.51300236407,10.3271029659326
"DCPS","Washington Metropolitan High School",474,"300 Bryant Street NW",350,350,"Phase 0",NA,"ALT",49496,"STABILIZED",9900000,200.02,9900000,-77.015584665,38.920429783,1,"","",244,2,0,56,0,0.229508196721311,0.00819672131147541,202.852459016393,200.016162922256,40573.7704918033,200.016162922256
"DCPS","Benjamin Banneker High School",402,"800 Euclid St  NW",620,620,"Phase 0",NA,"HS",180000,"STABILIZED",77074000,428.19,78745104,-77.023976968,38.923832421,1,"","",449,3,113,0,0.251670378619154,0,0.0066815144766147,400.890868596882,437.4728,171657.0155902,428.188888888889
"DCPS","Oyster-Adams Bilingual School (Oyster)",292,"2801 Calvert St NW",350,350,"Full",2001,"ES",47984,"FULL REPLACEMENT",0,0,NA,-77.044377251,38.917309201,3,"Oyster-Adams PS-8","Wilson HS",650,84,54,82,0.0830769230769231,0.126153846153846,0.129230769230769,73.8215384615385,NA,0,0
"DCPS","Brookland Education Campus @ Bunker Hill",346,"1401 Michigan Ave  NE",480,480,"Phase I",2012,"ES",69392,"PARTIAL MOD",0,0,6544178,-76.984995636,38.942012134,5,"Brookland MS","Dunbar HS",225,8,108,38,0.48,0.168888888888889,0.0355555555555556,308.408888888889,94.3073841364999,0,0
"DCPS","Dunbar High School (OLD)",467,"101 N St. NW",1100,1100,"Full",2013,NA,NA,NA,NA,NA,NA,-77.014693861,38.908523215,5,"","",653,6,483,198,0.739663093415008,0.303215926493109,0.00918836140888208,NA,NA,NA,NA
"DCPS","Malcolm X Elementary School",308,"1500 Mississippi Ave. SE Washington",248,248,"Phase 0",NA,"ES",77700,"STABILIZED",0,0,52963,-76.983398577,38.841645061,8,"Johnson MS","Ballou HS",244,0,207,31,0.848360655737705,0.127049180327869,0,318.44262295082,0.681634491634492,0,0
"DCPS","Old Randle",316,"1650 30th St  SE",450,450,"Full",2002,NA,NA,NA,NA,NA,NA,-76.964356283,38.870091402,7,"Kramer MS","Anacostia HS",360,3,228,49,0.633333333333333,0.136111111111111,0.00833333333333333,NA,NA,NA,NA
"DCPS","Cardozo EC",454,"1200 Clifton St. NW",1070,1070,"Full",2013,NA,NA,NA,NA,NA,NA,-77.028470794,38.922172198,1,"","",781,266,573,188,0.733674775928297,0.240717029449424,0.340588988476312,NA,NA,NA,NA
"DCPS","Capitol Hill Montessori School @ Logan",360,"215 G Street NE",360,360,"Phase 0",NA,"ES/MS",47200,"STABILIZED",11987136,253.96,14637256,-77.002562701,38.898529974,6,NA,"Eastern HS",310,3,25,11,0.0806451612903226,0.0354838709677419,0.00967741935483871,152.258064516129,310.111355932203,38668.1806451613,253.964745762712
"DCPS","Luke C. Moore High School",884,"1001 Monroe St NE",350,350,"Full",2006,"ALT",65528,"FULL MOD + ADD",0,0,NA,-76.992316326,38.932276047,5,"","",350,2,0,41,0,0.117142857142857,0.00571428571428571,187.222857142857,NA,0,0
"DCPS","Prospect Learning Center",242,"920 F STREET NE",450,450,"Phase I",2005,"ES",59200,"PARTIAL MOD",12028931,203.19,16383000,-76.993183024,38.897564662,6,NA,"",126,1,70,37,0.555555555555556,0.293650793650794,0.00793650793650794,469.84126984127,276.739864864865,95467.7063492063,203.191402027027
"DCPS","Brookland MS",346,NA,NA,NA,"",2014,"MS",110000,"FULL REPLACEMENT",-1202174,-10.93,62711400,-76.99182,38.93741,5,"","Dunbar HS",225,8,108,38,0.48,0.168888888888889,0.0355555555555556,488.888888888889,570.103636363636,-5342.99555555556,-10.9288545454545
"DCPS","Oyster-Adams Bilingual School (Adams)",201,"2020 19th St. NW",324,324,"Phase 0",NA,"MS",59400,"STABILIZED",12236000,205.99,16039375,-77.044377251,38.917309201,3,NA,"Wilson HS",NA,NA,NA,NA,NA,NA,NA,NA,270.023148148148,NA,205.993265993266
"DCPS","Woodson, H.D. HS",464,"540 55th St. NE",1000,1000,"Full",2011,"HS",253406,"FULL REPLACEMENT",0,0,107779131,-76.922322143,38.896782823,7,"","",639,6,501,193,0.784037558685446,0.302034428794992,0.00938967136150235,396.566510172144,425.321937917808,0,0
"DCPS","river terrace sp. ed.",304,NA,NA,NA,NA,NA,"SPED",77707,"FULL MOD + ADD",-2200000,-28.31,35717175,-76.95752,38.89495,7,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,459.639093003204,NA,-28.311477730449
"DCPS","Roosevelt High School",459,"4301 13th St NW",1030,1030,"Full",2015,"HS",331840,"FULL MOD + ADD",1887406,5.69,143557836,-77.027776341,38.943608176,4,"","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,432.611608003857,3965.13865546218,5.68769889103182
"DCPS","Ballou HS (includes STAY Program)",452,"3401 4th St  SE",1520,1520,"Full",2015,NA,NA,NA,NA,NA,NA,-77.000975263,38.839382331,8,"","",755,0,644,276,0.852980132450331,0.365562913907285,0,NA,NA,NA,NA
"DCPS","Sharpe Health School",312,"420 34th St NW",120,120,NA,NA,"ALT",80500,"STABILIZED",0,0,2089951,NA,NA,NA,NA,"",60,7,31,3,0.516666666666667,0.05,0.116666666666667,1341.66666666667,25.9621242236025,0,0
"DCPS","McKinley Technology High School",435,"151 T St NE",1160,1160,"Full",2014,"",62000,"FULL MOD",NA,NA,NA,-77.004122439,38.915219785,5,"","Dunbar HS",202,5,119,31,0.589108910891089,0.153465346534653,0.0247524752475248,306.930693069307,NA,NA,NA
"DCPS","McKinley Technology High School",458,"151 T St NE",1160,1160,"Full",2004,"HS",282200,"FULL MOD",0,0,77443210,-77.00488219,38.915210095,5,"","",645,6,239,12,0.370542635658915,0.0186046511627907,0.00930232558139535,437.519379844961,274.426683203402,0,0
"DCPS","Roosevelt High School",459,"4301 13th St NW",1030,1030,"Full",2015,"HS",331840,"FULL MOD + ADD",1887406,5.69,143557836,-77.027776341,38.943608176,4,"","",476,143,394,141,0.827731092436975,0.296218487394958,0.300420168067227,697.142857142857,432.611608003857,3965.13865546218,5.68769889103182
"DCPS","Ballou HS (includes STAY Program)",462,"3401 4th St  SE",1520,1520,"Full",2015,NA,NA,NA,NA,NA,NA,-77.000975263,38.839382331,8,NA,NA,591,0,0,52,0,0.0879864636209814,0,NA,NA,NA,NA
"DCPS","Sharpe Health School",265,"420 34th St NW",120,120,NA,NA,"ALT",80500,"STABILIZED",0,0,2089951,NA,NA,NA,NA,NA,56,4,29,0,0.517857142857143,0,0.0714285714285714,1437.5,25.9621242236025,0,0
"DCPS","CHOICE Academy",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.006775952,38.913502755,5,NA,NA,5,0,0,0,0,0,0,NA,NA,NA,NA
"DCPS","Incarcerated Youth Program",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.976378916,38.883430572,7,NA,NA,28,1,0,18,0,0.642857142857143,0.0357142857142857,NA,NA,NA,NA
"DCPS","Youth Services Center",861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.988585838,38.91213926,5,NA,NA,76,1,0,32,0,0.421052631578947,0.0131578947368421,NA,NA,NA,NA
"DCPS","Dorothy Height ES",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.03087,38.94452,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
